"Thursday, April 7, 2022"

1:05 pm Boston Red Sox @ New York Yankees

2:20 pm Milwaukee Brewers @ Chicago Cubs

7:10 pm Atlanta Braves @ New York Mets

8:10 pm Seattle Mariners @ Houston Astros

9:40 pm Tampa Bay Rays @ Oakland Athletics

"Tuesday, May 3, 2022"

3:10 pm Atlanta Braves @ New York Mets

3:15 pm Atlanta Braves @ New York Mets

6:10 pm San Diego Padres @ Cleveland Guardians

6:40 pm Arizona D'Backs @ Miami Marlins

6:45 pm Texas Rangers @ Philadelphia Phillies

7:05 pm Minnesota Twins @ Baltimore Orioles

7:07 pm New York Yankees @ Toronto Blue Jays

7:10 pm Los Angeles Angels @ Boston Red Sox

7:10 pm Pittsburgh Pirates @ Detroit Tigers

7:40 pm Chicago White Sox @ Chicago Cubs

7:40 pm Cincinnati Reds @ Milwaukee Brewers

8:10 pm Seattle Mariners @ Houston Astros

8:10 pm St. Louis Cardinals @ Kansas City Royals

8:40 pm Washington Nationals @ Colorado Rockies

9:40 pm Tampa Bay Rays @ Oakland Athletics

10:10 pm San Francisco Giants @ Los Angeles Dodgers

"Wednesday, May 4, 2022"

12:40 pm Arizona D'Backs @ Miami Marlins

1:10 pm San Diego Padres @ Cleveland Guardians

1:10 pm Pittsburgh Pirates @ Detroit Tigers

1:10 pm Atlanta Braves @ New York Mets

2:10 pm Seattle Mariners @ Houston Astros

3:37 pm Tampa Bay Rays @ Oakland Athletics

6:45 pm Texas Rangers @ Philadelphia Phillies

7:05 pm Minnesota Twins @ Baltimore Orioles

7:07 pm New York Yankees @ Toronto Blue Jays

7:10 pm Los Angeles Angels @ Boston Red Sox

7:10 pm St. Louis Cardinals @ Kansas City Royals

7:40 pm Chicago White Sox @ Chicago Cubs

7:40 pm Cincinnati Reds @ Milwaukee Brewers

8:40 pm Washington Nationals @ Colorado Rockies

10:10 pm San Francisco Giants @ Los Angeles Dodgers

"Thursday, May 5, 2022"

1:35 pm Los Angeles Angels @ Boston Red Sox

1:40 pm Cincinnati Reds @ Milwaukee Brewers

3:10 pm Washington Nationals @ Colorado Rockies

6:10 pm Toronto Blue Jays @ Cleveland Guardians

6:45 pm New York Mets @ Philadelphia Phillies

7:05 pm Minnesota Twins @ Baltimore Orioles

8:10 pm Detroit Tigers @ Houston Astros

9:40 pm Miami Marlins @ San Diego Padres

9:40 pm Tampa Bay Rays @ Seattle Mariners

9:45 pm St. Louis Cardinals @ San Francisco Giants

"Friday, May 6, 2022"

2:20 pm Los Angeles Dodgers @ Chicago Cubs

6:40 pm Pittsburgh Pirates @ Cincinnati Reds

7:05 pm Kansas City Royals @ Baltimore Orioles

7:05 pm Texas Rangers @ New York Yankees

7:05 pm New York Mets @ Philadelphia Phillies

7:10 pm Chicago White Sox @ Boston Red Sox

7:10 pm Toronto Blue Jays @ Cleveland Guardians

7:20 pm Milwaukee Brewers @ Atlanta Braves

8:10 pm Detroit Tigers @ Houston Astros

8:10 pm Oakland Athletics @ Minnesota Twins

9:38 pm Washington Nationals @ Los Angeles Angels

9:40 pm Colorado Rockies @ Arizona D'Backs

9:40 pm Miami Marlins @ San Diego Padres

9:40 pm Tampa Bay Rays @ Seattle Mariners

10:15 pm St. Louis Cardinals @ San Francisco Giants

"Saturday, May 7, 2022"

12:35 pm Pittsburgh Pirates @ Cincinnati Reds

1:05 pm Texas Rangers @ New York Yankees

2:10 pm Oakland Athletics @ Minnesota Twins

2:20 pm Los Angeles Dodgers @ Chicago Cubs

4:05 pm Detroit Tigers @ Houston Astros

4:05 pm New York Mets @ Philadelphia Phillies

4:10 pm Chicago White Sox @ Boston Red Sox

6:10 pm Toronto Blue Jays @ Cleveland Guardians

6:40 pm Pittsburgh Pirates @ Cincinnati Reds

7:05 pm Kansas City Royals @ Baltimore Orioles

7:15 pm St. Louis Cardinals @ San Francisco Giants

7:20 pm Milwaukee Brewers @ Atlanta Braves

8:10 pm Colorado Rockies @ Arizona D'Backs

8:40 pm Miami Marlins @ San Diego Padres

9:07 pm Washington Nationals @ Los Angeles Angels

9:10 pm Tampa Bay Rays @ Seattle Mariners

"Sunday, May 8, 2022"

TBD Chicago White Sox @ Boston Red Sox

1:35 pm Milwaukee Brewers @ Atlanta Braves

1:35 pm Kansas City Royals @ Baltimore Orioles

1:35 pm Texas Rangers @ New York Yankees

1:35 pm New York Mets @ Philadelphia Phillies

1:40 pm Pittsburgh Pirates @ Cincinnati Reds

1:40 pm Toronto Blue Jays @ Cleveland Guardians

2:10 pm Detroit Tigers @ Houston Astros

2:10 pm Oakland Athletics @ Minnesota Twins

4:05 pm St. Louis Cardinals @ San Francisco Giants

4:07 pm Washington Nationals @ Los Angeles Angels

4:10 pm Colorado Rockies @ Arizona D'Backs

4:10 pm Miami Marlins @ San Diego Padres

4:10 pm Tampa Bay Rays @ Seattle Mariners

7:08 pm Los Angeles Dodgers @ Chicago Cubs

"Monday, May 9, 2022"

6:35 pm Los Angeles Dodgers @ Pittsburgh Pirates

6:40 pm Milwaukee Brewers @ Cincinnati Reds

7:10 pm Oakland Athletics @ Detroit Tigers

8:10 pm Cleveland Guardians @ Chicago White Sox

9:38 pm Tampa Bay Rays @ Los Angeles Angels

9:40 pm Miami Marlins @ Arizona D'Backs

9:40 pm Chicago Cubs @ San Diego Padres

9:40 pm Philadelphia Phillies @ Seattle Mariners

9:45 pm Colorado Rockies @ San Francisco Giants

"Tuesday, May 10, 2022"

1:15 pm Oakland Athletics @ Detroit Tigers

6:35 pm Los Angeles Dodgers @ Pittsburgh Pirates

6:40 pm Milwaukee Brewers @ Cincinnati Reds

7:05 pm Toronto Blue Jays @ New York Yankees

7:05 pm New York Mets @ Washington Nationals

7:20 pm Boston Red Sox @ Atlanta Braves

7:40 pm Houston Astros @ Minnesota Twins

7:45 pm Baltimore Orioles @ St. Louis Cardinals

8:05 pm Kansas City Royals @ Texas Rangers

8:10 pm Cleveland Guardians @ Chicago White Sox

9:38 pm Tampa Bay Rays @ Los Angeles Angels

9:40 pm Miami Marlins @ Arizona D'Backs

9:40 pm Chicago Cubs @ San Diego Padres

9:40 pm Philadelphia Phillies @ Seattle Mariners

9:45 pm Colorado Rockies @ San Francisco Giants

"Wednesday, May 11, 2022"

12:35 pm Milwaukee Brewers @ Cincinnati Reds

12:35 pm Toronto Blue Jays @ New York Yankees

12:35 pm Los Angeles Dodgers @ Pittsburgh Pirates

2:10 pm Cleveland Guardians @ Chicago White Sox

3:40 pm Miami Marlins @ Arizona D'Backs

3:40 pm Philadelphia Phillies @ Seattle Mariners

3:45 pm Colorado Rockies @ San Francisco Giants

4:10 pm Chicago Cubs @ San Diego Padres

7:05 pm New York Mets @ Washington Nationals

7:07 pm Tampa Bay Rays @ Los Angeles Angels

7:10 pm Oakland Athletics @ Detroit Tigers

7:20 pm Boston Red Sox @ Atlanta Braves

7:40 pm Houston Astros @ Minnesota Twins

7:45 pm Baltimore Orioles @ St. Louis Cardinals

8:05 pm Kansas City Royals @ Texas Rangers

"Thursday, May 12, 2022"

1:05 pm New York Mets @ Washington Nationals

1:10 pm Oakland Athletics @ Detroit Tigers

1:10 pm Houston Astros @ Minnesota Twins

1:15 pm Baltimore Orioles @ St. Louis Cardinals

6:35 pm Cincinnati Reds @ Pittsburgh Pirates

8:05 pm Kansas City Royals @ Texas Rangers

8:10 pm New York Yankees @ Chicago White Sox

10:10 pm Philadelphia Phillies @ Los Angeles Dodgers

"Friday, May 13, 2022"

6:35 pm Cincinnati Reds @ Pittsburgh Pirates

6:40 pm Milwaukee Brewers @ Miami Marlins

7:05 pm Houston Astros @ Washington Nationals

7:10 pm Baltimore Orioles @ Detroit Tigers

7:10 pm Seattle Mariners @ New York Mets

7:10 pm Toronto Blue Jays @ Tampa Bay Rays

7:20 pm San Diego Padres @ Atlanta Braves

8:05 pm Boston Red Sox @ Texas Rangers

8:10 pm New York Yankees @ Chicago White Sox

8:10 pm Cleveland Guardians @ Minnesota Twins

8:15 pm San Francisco Giants @ St. Louis Cardinals

8:40 pm Kansas City Royals @ Colorado Rockies

9:40 pm Chicago Cubs @ Arizona D'Backs

